MODULE 5 — NHÀ PHÁT MINH TRÒ CHƠI AI,,,,,,,,
"Cậu thiết kế được một bộ thẻ và một trò chơi công bằng, chơi được thật. Sản phẩm: mười hai thẻ, bàn cờ, bản luật, đã chơi ít nhất một ván với gia đình. Câu chốt: trò chơi hay là trò chơi công bằng.",,,,,,,,
,,,,,,,,
PHẦN 1 — TỔNG THỂ,,,,,,,,
Bài,Tên bài,Mục tiêu của bài,Kỹ năng trẻ học được,,Điểm chặn,Trong Xưởng thực hành,Học liệu tạo ra,Trẻ hoàn thành
1.3,1. INTRO,0:00–0:15,"Xưởng sáng tạo Ây Ai Kít mở cửa rồi! Xin chào các cậu, lại là tớ đây, chú mèo máy thông minh nhì quả đất này. Hôm nay mình đến với bài 5.4: Luật chơi. Bộ thẻ đã xong rồi, giờ chúng mình phải làm cho người khác cầm lên là biết chơi ngay.","[excited] Xưởng sáng tạo Ây Ai Kít mở cửa rồi! [cheerful] Xin chào các cậu, lại là tớ đây, chú mèo máy thông minh nhì quả đất này. [curious] Hôm nay mình đến với bài 5.4: Luật chơi. [proud] Bộ thẻ đã xong rồi, giờ chúng mình phải làm cho người khác cầm lên là biết chơi ngay.","Intro Mèo AIKI mở cửa, và  bắt đầu chia sẻ, có POP UP Text",,,
,2. TÌNH HUỐNG,0:15–0:50,"Hôm trước Tomi mang bộ thẻ ra chơi với cả nhà. Bố hỏi: “Mấy người chơi được?” Mẹ hỏi: “Ai đi trước?” Em lại hỏi: “Hai lá bằng điểm thì sao?” Tomi cứ “ơ... ừm...” mãi. Thẻ đẹp lắm, nhưng chưa ai biết chơi thế nào. Vậy hôm nay, chúng mình sẽ biến ý tưởng trong đầu thành một bộ luật thật rõ ràng.","[calm] Hôm trước Tomi mang bộ thẻ ra chơi với cả nhà. [curious] Bố hỏi: “Mấy người chơi được?” [curious] Mẹ hỏi: “Ai đi trước?” [surprised] Em lại hỏi: “Hai lá bằng điểm thì sao?” [worried] Tomi cứ “ơ... ừm...” mãi. [disappointed] Thẻ đẹp lắm, nhưng chưa ai biết chơi thế nào. [determined] Vậy hôm nay, chúng mình sẽ biến ý tưởng trong đầu thành một bộ luật thật rõ ràng.", Tình huống,,,
,3. XEM MẪU + DẠY 1 KỸ NĂNG,0:50–2:00,"Các cậu chưa cần viết luật dài đâu. Chỉ cần trả lời cho tớ 5 câu hỏi. Một: Có mấy người chơi? Hai: Ai đi trước? Ba: Mỗi lượt người chơi làm gì? Bốn: So thẻ thế nào, nếu bằng nhau thì sao? Năm: Khi nào trò chơi kết thúc và ai thắng? Cứ trả lời theo cách các cậu nói bình thường, ngắn cũng được.

Ví dụ Tomi trả lời: “Hai đến bốn người. Ai sinh nhật gần nhất đi trước. Mỗi người lật một lá, người đi trước chọn Sức, Nhanh hoặc Khéo. Ai có điểm cao nhất thì lấy các lá. Nếu bằng nhau thì để giữa bàn. Khi hết bài, ai có nhiều lá nhất thắng.” Được rồi! Ý tưởng là của Tomi. Việc của tớ chỉ là sắp xếp và viết lại cho dễ đọc hơn, chứ tớ không tự thêm luật mới.

Tớ có thể viết lại thành: “Trò chơi dành cho 2–4 người. Người có sinh nhật gần nhất đi trước. Mỗi lượt, tất cả cùng lật một thẻ. Người đi trước chọn một chỉ số: Sức, Nhanh hoặc Khéo. Người có điểm cao nhất ở chỉ số đó lấy các thẻ trên bàn. Nếu bằng điểm, các thẻ được để lại giữa bàn và người thắng lượt tiếp theo lấy tất cả. Khi hết bài, người giữ nhiều thẻ nhất thắng.” Đấy, cùng một ý tưởng thôi, nhưng đọc lên rõ hơn hẳn.

Nhưng khoan nhé, luật viết xong vẫn chưa chắc chơi được. Phải đem ra chơi thử. Bố với Tomi chơi một ván, vừa chơi đã phát hiện một câu chưa rõ. Nếu ba người cùng bằng điểm thì sao? À, vậy Tomi phải quyết định thêm, rồi nói lại cho tớ. Tớ sẽ cập nhật bộ luật. Nhớ nhé: AKI giúp viết cho rõ, còn các cậu quyết định luật.","[calm] Các cậu chưa cần viết luật dài đâu. [deliberate] Chỉ cần trả lời cho tớ 5 câu hỏi. [curious] Một: Có mấy người chơi? Hai: Ai đi trước? Ba: Mỗi lượt người chơi làm gì? Bốn: So thẻ thế nào, nếu bằng nhau thì sao? Năm: Khi nào trò chơi kết thúc và ai thắng? [encouraging] Cứ trả lời theo cách các cậu nói bình thường, ngắn cũng được.

[cheerful] Ví dụ Tomi trả lời: “Hai đến bốn người. Ai sinh nhật gần nhất đi trước. Mỗi người lật một lá, người đi trước chọn Sức, Nhanh hoặc Khéo. Ai có điểm cao nhất thì lấy các lá. Nếu bằng nhau thì để giữa bàn. Khi hết bài, ai có nhiều lá nhất thắng.” [proud] Được rồi! [warm] Ý tưởng là của Tomi. [calm] Việc của tớ chỉ là sắp xếp và viết lại cho dễ đọc hơn, chứ tớ không tự thêm luật mới.

[deliberate] Tớ có thể viết lại thành: “Trò chơi dành cho 2–4 người. Người có sinh nhật gần nhất đi trước. Mỗi lượt, tất cả cùng lật một thẻ. Người đi trước chọn một chỉ số: Sức, Nhanh hoặc Khéo. Người có điểm cao nhất ở chỉ số đó lấy các thẻ trên bàn. Nếu bằng điểm, các thẻ được để lại giữa bàn và người thắng lượt tiếp theo lấy tất cả. Khi hết bài, người giữ nhiều thẻ nhất thắng.” [proud] Đấy, cùng một ý tưởng thôi, nhưng đọc lên rõ hơn hẳn.

[thoughtful] Nhưng khoan nhé, luật viết xong vẫn chưa chắc chơi được. [emphasized] Phải đem ra chơi thử. [cheerful] Bố với Tomi chơi một ván, vừa chơi đã phát hiện một câu chưa rõ. [curious] Nếu ba người cùng bằng điểm thì sao? [thoughtful] À, vậy Tomi phải quyết định thêm, rồi nói lại cho tớ. Tớ sẽ cập nhật bộ luật. [emphasized] Nhớ nhé: AKI giúp viết cho rõ, còn các cậu quyết định luật.","Mèo AKI chia sẻ, diễn hoạt bảng trắng",,,
,5. THỬ THÁCH + CHỐT + OUTRO,4:00–5:30,"Bây giờ đến lượt các cậu. Hãy trả lời đủ 5 câu hỏi bằng lời của mình, rồi nhờ tớ viết lại thành một bộ luật ngắn, dễ hiểu. Sau đó rủ ít nhất một người trong nhà chơi thử. Chỗ nào họ phải dừng lại hỏi “Tiếp theo làm gì?” hoặc “Thế này tính sao?” thì đánh dấu lại, bổ sung câu trả lời rồi nhờ tớ sửa luật lần nữa.

Và nhớ câu hôm nay: Nói luật của cậu trước – AKI giúp viết cho rõ – rồi phải chơi thử. Luật chưa chơi thử thì chưa phải luật hoàn chỉnh.

Buổi sau là bài cuối cùng của cả khóa. Chúng mình sẽ làm bàn cờ, đóng bộ trò chơi và rủ cả nhà chơi một ván thật. Tớ chờ các cậu! Bái bai!","[encouraging] Bây giờ đến lượt các cậu. [deliberate] Hãy trả lời đủ 5 câu hỏi bằng lời của mình, rồi nhờ tớ viết lại thành một bộ luật ngắn, dễ hiểu. [cheerful] Sau đó rủ ít nhất một người trong nhà chơi thử. [serious] Chỗ nào họ phải dừng lại hỏi “Tiếp theo làm gì?” hoặc “Thế này tính sao?” thì đánh dấu lại, bổ sung câu trả lời rồi nhờ tớ sửa luật lần nữa.

[emphasized] Và nhớ câu hôm nay: Nói luật của cậu trước – AKI giúp viết cho rõ – rồi phải chơi thử. [serious] Luật chưa chơi thử thì chưa phải luật hoàn chỉnh.

[excited] Buổi sau là bài cuối cùng của cả khóa. [cheerful] Chúng mình sẽ làm bàn cờ, đóng bộ trò chơi và rủ cả nhà chơi một ván thật. [warm] Tớ chờ các cậu! Bái bai!","Mèo AKI chia sẻ  diễn hoạt bảng trắng + 1 mình, Popup Text",,,
,,,,,,,,
Bài 5.5 — ĐẤU TRƯỜNG KHAI MỞ,,,,,,,,
1.4,1. INTRO,0:00–0:15,"Xưởng sáng tạo Ây Ai Kít mở cửa rồi! Xin chào các cậu, lại là tớ đây, chú mèo máy thông minh nhì quả đất này. Hôm nay là bài CUỐI CÙNG của cả khóa học: Đấu trường khai mở. Bộ thẻ có rồi, luật chơi có rồi. Hôm nay mình làm nốt bàn cờ, đóng thành một bộ hoàn chỉnh và quan trọng nhất là... chơi thật!","[excited] Xưởng sáng tạo Ây Ai Kít mở cửa rồi! [cheerful] Xin chào các cậu, lại là tớ đây, chú mèo máy thông minh nhì quả đất này. [proud] Hôm nay là bài CUỐI CÙNG của cả khóa học: Đấu trường khai mở. [deliberate] Bộ thẻ có rồi, luật chơi có rồi. [determined] Hôm nay mình làm nốt bàn cờ, đóng thành một bộ hoàn chỉnh và quan trọng nhất là... chơi thật!","Intro Mèo AIKI mở cửa, và  bắt đầu chia sẻ, có POP UP Text",,,
,2. TÌNH HUỐNG,0:15–0:50,"Trước tiên, tớ dẫn các cậu đến một nơi tên là KHO TRÒ CHƠI NGỦ QUÊN. Ở đây có rất nhiều bộ trò chơi đẹp ơi là đẹp: thẻ đủ, luật đủ, hộp cũng xịn. Nhưng làm xong, chủ nhân lại cất vào ngăn kéo và bảo: “Hôm nào mình sẽ chơi.” Thế rồi chúng cứ nằm im mãi. Một trò chơi mà chưa có ai chơi thì vẫn chưa làm xong đâu nhé.","[curious] Trước tiên, tớ dẫn các cậu đến một nơi tên là KHO TRÒ CHƠI NGỦ QUÊN. [amazed] Ở đây có rất nhiều bộ trò chơi đẹp ơi là đẹp: thẻ đủ, luật đủ, hộp cũng xịn. [sighs] Nhưng làm xong, chủ nhân lại cất vào ngăn kéo và bảo: “Hôm nào mình sẽ chơi.” [disappointed] Thế rồi chúng cứ nằm im mãi. [emphasized] Một trò chơi mà chưa có ai chơi thì vẫn chưa làm xong đâu nhé.", Tình huống,,,
,3. XEM MẪU + DẠY 1 KỸ NĂNG,0:50–2:00,"Hôm trước Dori cũng làm một bàn cờ rất đẹp. Có đường đi, có ô đánh số. Cả nhà chơi được một lúc thì bố hỏi: “Ơ, thế đi đến đâu thì thắng?” Dori nhìn lại... quên mất ô ĐÍCH! Thế là mọi người cứ đi vòng vòng mãi.

Vậy một bàn cờ của mình cần đủ bốn thứ: XUẤT PHÁT – ĐƯỜNG ĐI – Ô ĐẶC BIỆT – ĐÍCH. Xuất phát là nơi bắt đầu. Đường đi cho mình biết phải đi thế nào. Đích cho biết khi nào kết thúc. Còn Ô ĐẶC BIỆT là chỗ vui nhất, vì các cậu có thể tự nghĩ luật riêng cho trò chơi của mình.

Ví dụ nhà Dori có một chú mèo rất hay nhảy lên bàn ăn, nên Dori làm ô: “MÈO CƯỚP ĐỒ ĂN – bỏ một lượt để đuổi mèo.” Nghe là biết ngay trò chơi này của Dori rồi. Các cậu cũng thử lấy một chuyện vui trong nhà mình để làm ô đặc biệt nhé.","[calm] Hôm trước Dori cũng làm một bàn cờ rất đẹp. [deliberate] Có đường đi, có ô đánh số. [curious] Cả nhà chơi được một lúc thì bố hỏi: “Ơ, thế đi đến đâu thì thắng?” [gasps] Dori nhìn lại... quên mất ô ĐÍCH! [giggles] Thế là mọi người cứ đi vòng vòng mãi.

[emphasized] Vậy một bàn cờ của mình cần đủ bốn thứ: XUẤT PHÁT – ĐƯỜNG ĐI – Ô ĐẶC BIỆT – ĐÍCH. [deliberate] Xuất phát là nơi bắt đầu. Đường đi cho mình biết phải đi thế nào. Đích cho biết khi nào kết thúc. [playful] Còn Ô ĐẶC BIỆT là chỗ vui nhất, vì các cậu có thể tự nghĩ luật riêng cho trò chơi của mình.

[mischievous] Ví dụ nhà Dori có một chú mèo rất hay nhảy lên bàn ăn, nên Dori làm ô: “MÈO CƯỚP ĐỒ ĂN – bỏ một lượt để đuổi mèo.” [giggles] Nghe là biết ngay trò chơi này của Dori rồi. [encouraging] Các cậu cũng thử lấy một chuyện vui trong nhà mình để làm ô đặc biệt nhé.","Mèo AKI chia sẻ, diễn hoạt bảng trắng",,,
,4. LÀM CÙNG,2:00–4:00,"Tớ làm thử bàn cờ cho bộ thẻ nhà bếp. Xuất phát ở CHẠN BÁT, đường đi chạy quanh căn bếp, có ô CHÁY NỒI – lùi ba ô. Tớ tưởng xong rồi, nhưng chơi thử mới phát hiện... tớ cũng quên ĐÍCH. Tớ thêm ngay ô cuối: MÂM CƠM HOÀN CHỈNH – ai đến đây trước thì thắng. Đấy, phải chơi thử mới biết mình còn thiếu gì.

Và các cậu nhớ cách sửa lỗi mình đã dùng suốt khóa nhé: Gọi tên lỗi – Tìm chỗ thiếu – Sửa rồi mới làm lại. Làm sai không sao. Quan trọng là mình biết sai ở đâu và biết cách sửa.","[cheerful] Tớ làm thử bàn cờ cho bộ thẻ nhà bếp. [deliberate] Xuất phát ở CHẠN BÁT, đường đi chạy quanh căn bếp, có ô CHÁY NỒI – lùi ba ô. [surprised] Tớ tưởng xong rồi, nhưng chơi thử mới phát hiện... tớ cũng quên ĐÍCH. [determined] Tớ thêm ngay ô cuối: MÂM CƠM HOÀN CHỈNH – ai đến đây trước thì thắng. [proud] Đấy, phải chơi thử mới biết mình còn thiếu gì.

[emphasized] Và các cậu nhớ cách sửa lỗi mình đã dùng suốt khóa nhé: Gọi tên lỗi – Tìm chỗ thiếu – Sửa rồi mới làm lại. [warm] Làm sai không sao. [encouraging] Quan trọng là mình biết sai ở đâu và biết cách sửa.","Mèo AKI chia sẻ, diễn hoạt bảng trắng",,,
,5. THỬ THÁCH,4:00–5:30,"Bây giờ đến lượt các cậu. Hãy làm bàn cờ đủ Xuất phát – Đường đi – Ô đặc biệt – Đích, rồi làm vỏ hộp để cất 12 thẻ, bàn cờ và luật chơi. Phần in, cắt hoặc gấp khó thì nhớ nhờ người lớn giúp.

Sau đó là bước quan trọng nhất: rủ cả nhà chơi một ván thật từ đầu đến cuối. Trong lúc chơi, nếu có chỗ nào mọi người chưa hiểu, chưa vui hoặc còn tranh luận, hãy sửa lại. Vì một trò chơi không phải để nằm đẹp trong hộp. Nó được làm ra để mọi người cùng chơi.

Và nhớ hai câu của chương cuối nhé: Trò chơi hay là trò chơi công bằng. Trò chơi chỉ thật sự hoàn thành khi có người chơi nó","[encouraging] Bây giờ đến lượt các cậu. [deliberate] Hãy làm bàn cờ đủ Xuất phát – Đường đi – Ô đặc biệt – Đích, rồi làm vỏ hộp để cất 12 thẻ, bàn cờ và luật chơi. [gentle] Phần in, cắt hoặc gấp khó thì nhớ nhờ người lớn giúp.

[excited] Sau đó là bước quan trọng nhất: rủ cả nhà chơi một ván thật từ đầu đến cuối. [calm] Trong lúc chơi, nếu có chỗ nào mọi người chưa hiểu, chưa vui hoặc còn tranh luận, hãy sửa lại. [serious] Vì một trò chơi không phải để nằm đẹp trong hộp. [warm] Nó được làm ra để mọi người cùng chơi.

[emphasized] Và nhớ hai câu của chương cuối nhé: Trò chơi hay là trò chơi công bằng. [determined] Trò chơi chỉ thật sự hoàn thành khi có người chơi nó","Mèo AKI chia sẻ, diễn hoạt bảng trắng",,,
,6.  + CHỐT + OUTRO,5:30 - 6:30,"Trước khi kết thúc khóa học, tớ muốn nhắc lại những điều chúng mình đã học: Tả càng rõ, tớ càng hiểu đúng. Bức tranh đẹp là bức tranh kể được một chuyện. Nhân vật hay không phải vì đẹp, mà vì có tính cách. Tớ có thể giúp vẽ truyện, nhưng các cậu mới là người nghĩ ra câu chuyện. Và trò chơi hay là trò chơi công bằng.
Các cậu để ý không? Không có câu nào là “AKI làm hết.” Tớ có thể giúp các cậu tạo nhanh hơn, thử nhiều hơn và biến ý tưởng thành hình. Nhưng ý tưởng, câu chuyện, nhân vật và trò chơi phải bắt đầu từ chính các cậu.
Việc cuối cùng nhé. Hãy bày những sản phẩm mình đã làm trong khóa học ra bàn: tranh, thẻ nhân vật, truyện tranh, bộ trò chơi... rồi gọi cả nhà lại xem. Đó chính là triển lãm của các cậu.
Cảm ơn các cậu đã đi cùng tớ đến tận đây. Xưởng sáng tạo Ây Ai Kít lúc nào cũng mở cửa. Còn bây giờ... tớ chào các cậu nhé. Bái baiii!","[warm] Trước khi kết thúc khóa học, tớ muốn nhắc lại những điều chúng mình đã học: [deliberate] Tả càng rõ, tớ càng hiểu đúng. Bức tranh đẹp là bức tranh kể được một chuyện. [thoughtful] Nhân vật hay không phải vì đẹp, mà vì có tính cách. Tớ có thể giúp vẽ truyện, nhưng các cậu mới là người nghĩ ra câu chuyện. [emphasized] Và trò chơi hay là trò chơi công bằng.
[curious] Các cậu để ý không? [serious] Không có câu nào là “AKI làm hết.” [calm] Tớ có thể giúp các cậu tạo nhanh hơn, thử nhiều hơn và biến ý tưởng thành hình. [emphasized] Nhưng ý tưởng, câu chuyện, nhân vật và trò chơi phải bắt đầu từ chính các cậu.
[playful] Việc cuối cùng nhé. [excited] Hãy bày những sản phẩm mình đã làm trong khóa học ra bàn: tranh, thẻ nhân vật, truyện tranh, bộ trò chơi... rồi gọi cả nhà lại xem. [proud] Đó chính là triển lãm của các cậu.
[warm] Cảm ơn các cậu đã đi cùng tớ đến tận đây. [cheerful] Xưởng sáng tạo Ây Ai Kít lúc nào cũng mở cửa. [gentle] Còn bây giờ... tớ chào các cậu nhé. [excited] Bái baiii!","Mèo AKI chia sẻ  diễn hoạt bảng trắng + 1 mình, Popup Text",,,
